name,sport,nationality,sex,date_of_birth,age (at start of games),height (m),weight (kg),BMI,gold,silver,bronze,
Leone Nakarawa,rugby sevens,FIJ,male,4/2/88,28.4,1.98,109,27.8,1,0,0,
Leonel de los Santos Nunez,boxing,DOM,male,12/14/94,21.7,1.70,,,0,0,0,
Leonel Suarez,athletics,CUB,male,9/1/87,28.9,1.81,68,20.8,0,0,0,
Leonid Andreev,athletics,UZB,male,10/6/83,32.9,1.98,93,23.7,0,0,0,
Leonie Adam,gymnastics,GER,female,1/2/93,23.6,1.62,54,20.6,0,0,0,
Leonie Antonia Beck,aquatics,GER,female,5/27/97,19.2,1.84,62,18.3,0,0,0,
Leonie Kullmann,aquatics,GER,female,8/26/99,17.0,1.75,62,20.2,0,0,0,
Leonie Maier,football,GER,female,9/29/92,23.9,1.63,62,23.3,1,0,0,
Leonor Rodriguez,basketball,ESP,female,10/21/91,24.8,1.80,72,22.2,0,1,0,
Leonora Mackinnon,fencing,CAN,female,5/30/94,22.2,1.80,77,23.8,0,0,0,
Leontia Kallenou,athletics,CYP,female,10/5/94,21.8,1.80,64,19.8,0,0,0,
Leopold Konig,cycling,CZE,male,11/15/87,28.7,1.78,62,19.6,0,0,0,
Lerissa Henry,athletics,FSM,female,8/18/97,19.0,1.53,57,24.3,0,0,0,
Lesley Thompson-Willie,rowing,CAN,female,9/20/59,56.9,1.60,50,19.5,0,0,0,
Leslie Copeland,athletics,FIJ,male,4/23/88,28.3,1.83,102,30.5,0,0,0,
Lestrod Roland,athletics,SKN,male,9/5/92,23.9,1.65,54,19.8,0,0,0,
Leticia Boscacci,volleyball,ARG,female,11/8/85,30.8,1.86,70,20.2,0,0,0,
Leticia de Souza,athletics,BRA,female,5/6/96,20.3,1.65,49,18.0,0,0,0,
Leticia Romero,basketball,ESP,female,5/28/95,21.2,1.77,62,19.8,0,1,0,
Leuris Pupo,shooting,CUB,male,4/9/77,39.4,1.68,78,27.6,0,0,0,
Levan Berianidze,wrestling,ARM,male,10/10/90,25.8,1.86,125,36.1,0,0,0,
Levent Tuncat,taekwondo,GER,male,7/29/88,28.0,1.73,61,20.4,0,0,0,
Levern Spencer,athletics,LCA,female,6/23/84,32.1,1.79,48,15.0,0,0,0,
Levi Cadogan,athletics,BAR,male,11/8/95,20.8,1.81,78,23.8,0,0,0,
Levon Aghasyan,athletics,ARM,male,1/19/95,21.6,1.93,75,20.1,0,0,0,
Lewis Holland,rugby sevens,AUS,male,1/14/93,23.6,1.83,89,26.6,0,0,0,
Lewis Ormond,rugby sevens,NZL,male,2/5/94,22.5,1.92,100,27.1,0,0,0,
Lexi Thompson,golf,USA,female,2/10/95,21.5,1.81,72,22.0,0,0,0,
