name,sport,nationality,sex,date_of_birth,age (at start of games),height (m),weight (kg),BMI,gold,silver,bronze,
Ursa Kragelj,canoe,SLO,female,7/2/88,28.1,1.66,56,20.3,0,0,0,
Ursula Gonzalez Garate,fencing,MEX,female,11/22/91,24.7,1.71,71,24.3,0,0,0,
Ursula Grobler,rowing,RSA,female,2/6/80,36.5,1.73,60,20.0,0,0,0,
Ursula Wikstrom,golf,FIN,female,7/3/80,36.1,1.66,55,20.0,0,0,0,
Usain Bolt,athletics,JAM,male,8/21/86,30.0,1.96,95,24.7,3,0,0,
Uschi Freitag,aquatics,NED,female,8/19/89,27.0,1.67,68,24.4,0,0,0,
Ushangi Kokauri,judo,AZE,male,1/10/92,24.6,1.95,135,35.5,0,0,0,
Usman Muhammed,football,NGR,male,3/2/94,22.4,1.69,,,0,0,1,
Uthappa Sannuvanda,hockey,IND,male,12/2/93,22.7,1.83,84,25.1,0,0,0,
Uuganbaatar Otgonbaatar,judo,MGL,male,2/19/88,28.5,1.78,81,25.6,0,0,0,
Uvis Kalnins,aquatics,LAT,male,10/24/93,22.8,1.92,85,23.1,0,0,0,
Uwe Gensheimer,handball,GER,male,10/26/86,29.8,1.88,88,24.9,0,0,1,
V Shem Goh,badminton,MAS,male,5/20/89,27.2,1.80,70,21.6,0,1,0,
V. Sindhu Pusarla,badminton,IND,female,7/5/95,21.1,1.79,65,20.3,0,1,0,
Vadim Anokhin,fencing,RUS,male,1/2/92,24.6,1.92,91,24.7,0,0,0,
Vadim Kaptur,aquatics,BLR,male,7/12/87,29.1,1.74,69,22.8,0,0,0,
Vadim Skorovarov,shooting,UZB,male,8/4/96,20.0,1.77,67,21.4,0,0,0,
Vadzim Lialin,rowing,BLR,male,11/15/82,33.7,2.00,100,25.0,0,0,0,
Vadzim Straltsou,weightlifting,BLR,male,4/30/86,30.3,1.70,94,32.5,0,1,0,
Vagner Junior Souta,canoe,BRA,male,2/10/91,25.5,1.87,84,24.0,0,0,0,
Vahan Mkhitaryan,aquatics,ARM,male,8/16/96,20.0,1.86,92,26.6,0,0,0,
Vaida Zusinaite,athletics,LTU,female,1/13/88,28.6,1.67,50,17.9,0,0,0,
Vaidas Kariniauskas,basketball,LTU,male,11/16/93,22.7,1.97,,,0,0,0,
Vaipava Nevo Ioane,weightlifting,SAM,male,4/14/88,28.3,1.52,62,26.8,0,0,0,
Valdas Dopolskas,athletics,LTU,male,4/30/92,24.3,1.83,69,20.6,0,0,0,
Valdivia,football,BRA,male,10/4/94,21.9,,,,0,0,0,
Valent Sinkovic,rowing,CRO,male,8/2/88,28.0,1.87,93,26.6,1,0,0,
Valentin Belaud,modern pentathlon,FRA,male,9/16/92,23.9,1.81,73,22.3,0,0,0,
Valentin Demyanenko,canoe,AZE,male,10/23/83,32.8,1.93,93,25.0,0,1,0,
Valentin Onfroy,rowing,FRA,male,11/16/93,22.7,1.95,84,22.1,0,0,0,
Valentin Porte,handball,FRA,male,9/7/90,25.9,1.90,92,25.5,0,1,0,
Valentin Prades,modern pentathlon,FRA,male,9/29/92,23.9,1.94,90,23.9,0,0,0,
Valentin Verga,hockey,NED,male,10/7/89,26.8,1.80,87,26.9,0,0,0,
Valentina Ardean Elisei,handball,ROU,female,6/5/82,34.2,1.72,64,21.6,0,0,0,
Valentina Gustin,shooting,CRO,female,11/20/96,19.7,1.72,61,20.6,0,0,0,
Valentina Kibalnikova,athletics,UZB,female,10/16/90,25.8,1.74,56,18.5,0,0,0,
Valentina Kogan,handball,ARG,female,2/19/80,36.5,1.73,71,23.7,0,0,0,
Valentina Liashenko,athletics,GEO,female,1/30/81,35.5,1.76,63,20.3,0,0,0,
Valentina Moscatt,judo,ITA,female,3/16/87,29.4,1.52,48,20.8,0,0,0,
Valentina Rodini,rowing,ITA,female,1/28/95,21.5,1.67,54,19.4,0,0,0,
Valentina Truppa,equestrian,ITA,female,3/18/86,30.4,1.60,55,21.5,0,0,0,
Valentino Gallo,aquatics,ITA,male,7/17/85,31.1,1.92,95,25.8,0,0,1,
Valentino Manfredonia,boxing,ITA,male,9/29/89,26.9,1.80,,,0,0,0,
Valentyna Myronchuk,athletics,UKR,female,8/10/94,22.0,1.67,55,19.7,0,0,0,
Valeria Bianchi,handball,ARG,female,9/16/85,30.9,1.70,62,21.5,0,0,0,
Valeria Straneo,athletics,ITA,female,4/5/76,40.4,1.65,45,16.5,0,0,0,
Valerian Sauveplane,shooting,FRA,male,7/25/80,36.1,1.80,77,23.8,0,0,0,
Valeriane Ayayi,basketball,FRA,female,4/29/94,22.3,1.84,72,21.3,0,0,0,
Valerie Adams,athletics,NZL,female,10/6/84,31.9,1.93,120,32.2,0,1,0,
Valerie Gruest Slowing,aquatics,GUA,female,3/14/99,17.4,1.72,63,21.3,0,0,0,
Valerii Andriitsev,wrestling,UKR,male,2/27/87,29.5,1.81,97,29.6,0,0,0,
Valeriia Gudym,gymnastics,UKR,female,3/1/95,21.4,1.72,54,18.3,0,0,0,
Valeriia Koblova Zholobova,wrestling,RUS,female,10/9/92,23.8,1.64,58,21.6,0,1,0,
Valeriu Duminica,judo,MDA,male,4/8/87,29.3,1.75,81,26.4,0,0,0,
Valeriya Davidova,gymnastics,UZB,female,12/15/97,18.7,1.68,48,17.0,0,0,0,
Valeriya Pischelina,gymnastics,BLR,female,2/27/95,21.5,1.70,50,17.3,0,0,0,
Valmir Berisha,football,SWE,male,6/6/96,20.2,1.82,80,24.2,0,0,0,
Vandana Katariya,hockey,IND,female,4/15/92,24.3,1.59,48,19.0,0,0,0,
Vanessa Boslak,athletics,FRA,female,6/11/82,34.2,1.70,57,19.7,0,0,0,
Vanessa Chefer,athletics,BRA,female,3/5/90,26.4,1.78,68,21.5,0,0,0,
Vanessa Cozzi,rowing,BRA,female,3/25/84,32.4,1.70,57,19.7,0,0,0,
Vanessa Ferrari,gymnastics,ITA,female,11/10/90,25.8,1.45,45,21.4,0,0,0,
Vanessa Garcia,aquatics,PUR,female,7/18/84,32.1,1.73,57,19.0,0,0,0,
Vanessa Grimberg,aquatics,GER,female,1/28/93,23.5,1.76,63,20.3,0,0,0,
Vanessa Lunga,football,ZIM,female,6/16/94,22.2,1.63,70,26.3,0,0,0,
Vanessa Rial,rugby sevens,ESP,female,3/1/82,34.5,1.72,68,23.0,0,0,0,
Vanessa Zambotti,judo,MEX,female,3/4/82,34.4,1.75,125,40.8,0,0,0,
Vania Neves,aquatics,POR,female,9/4/90,25.9,1.71,61,20.9,0,0,0,
Varlam Liparteliani,judo,GEO,male,2/27/89,27.5,1.87,94,26.9,0,1,0,
Varvara Filiou,gymnastics,GRE,female,12/29/94,21.6,1.65,45,16.5,0,0,0,
Vasek Pospisil,tennis,CAN,male,6/23/90,26.1,1.94,87,23.1,0,0,0,
Vashti Cunningham,athletics,USA,female,1/18/98,18.6,1.86,55,15.9,0,0,0,
Vasil Kiryienka,cycling,BLR,male,6/28/81,35.1,1.82,75,22.6,0,0,0,
Vasilii Egorov,boxing,RUS,male,9/16/93,22.9,1.60,,,0,0,0,
Vasilij Zbogar,sailing,SLO,male,10/4/75,40.9,1.89,98,27.4,0,1,0,
Vasiliki Millousi,gymnastics,GRE,female,5/4/84,32.3,1.57,45,18.3,0,0,0,
Vasilisa Marzaliuk,wrestling,BLR,female,6/23/87,29.1,1.80,77,23.8,0,0,0,
Vasily Mosin,shooting,RUS,male,5/9/72,44.3,1.83,70,20.9,0,0,0,
Vasily Pogreban,canoe,RUS,male,6/26/89,27.1,1.81,91,27.8,0,0,0,
Vassiliki Vougiouka,fencing,GRE,female,6/20/86,30.1,1.81,70,21.4,0,0,0,
Vassiliy Levit,boxing,KAZ,male,2/24/88,28.5,1.85,,,0,1,0,
Vatemo Ravouvou,rugby sevens,FIJ,male,7/31/90,26.0,1.71,81,27.7,1,0,0,
Vazha Margvelashvili,judo,GEO,male,10/3/93,22.9,1.67,66,23.7,0,0,0,
Veerle Dejaeghere,athletics,BEL,female,8/1/73,43.0,1.59,46,18.2,0,0,0,
Vegard Stake Laengen,cycling,NOR,male,2/7/89,27.5,,,,0,0,0,
Veli-Matti Partanen,athletics,FIN,male,10/28/91,24.8,1.81,63,19.2,0,0,0,
Velimir Stjepanovic,aquatics,SRB,male,8/7/93,23.0,1.82,74,22.3,0,0,0,
Vendula Frintova,triathlon,CZE,female,9/4/83,32.9,1.68,50,17.7,0,0,0,
Venilton Teixeira,taekwondo,BRA,male,9/6/95,20.9,1.82,58,17.5,0,0,0,
Ventsislav Aydarski,aquatics,BUL,male,2/17/91,25.5,1.68,60,21.3,0,0,0,
Venus Williams,tennis,USA,female,6/17/80,36.2,1.86,74,21.4,0,1,0,
Vera Adrian,cycling,NAM,female,10/28/93,22.8,1.68,57,20.2,0,0,0,
Vera Barbosa,athletics,POR,female,1/13/89,27.6,1.68,58,20.5,0,0,0,
Vera Biriukova,gymnastics,RUS,female,4/11/98,18.3,1.68,47,16.7,1,0,0,
Vera van Pol,gymnastics,NED,female,12/17/93,22.6,1.57,54,21.9,0,0,0,
Vera Vetrova,volleyball,RUS,female,8/21/86,30.0,1.80,73,22.5,0,0,0,
Veronica Bertolini,gymnastics,ITA,female,10/19/95,20.8,1.67,48,17.2,0,0,0,
Veronica Campbell-Brown,athletics,JAM,female,5/15/82,34.2,1.68,58,20.5,0,1,0,
Veronica Cepede Royg,tennis,PAR,female,1/21/92,24.6,1.63,65,24.5,0,0,0,
Veronica Inglese,athletics,ITA,female,11/22/90,25.7,1.60,43,16.8,0,0,0,
Veronica Kristiansen,handball,NOR,female,7/10/90,26.1,1.75,,,0,0,1,
Veronika Ivasiuk,weightlifting,UKR,female,10/12/95,20.8,1.70,57,19.7,0,0,0,
Veronika Kozelska Fenclova,sailing,CZE,female,1/21/81,35.6,1.71,70,23.9,0,0,0,
Veronika Macarol,sailing,SLO,female,3/28/87,29.4,1.78,68,21.5,0,0,0,
Veronika Marchenko,archery,UKR,female,4/3/93,23.4,1.57,48,19.5,0,0,0,
Veronika Popova,aquatics,RUS,female,1/20/91,25.6,1.82,68,20.5,0,0,0,
Veronika Yesipovich,aquatics,BLR,female,4/10/96,20.3,1.66,48,17.4,0,0,0,
Vesa Tornroos,shooting,FIN,male,9/2/82,33.9,1.74,93,30.7,0,0,0,
Viacheslav Andrusenko,aquatics,RUS,male,5/14/92,24.2,1.94,85,22.6,0,0,0,
Viacheslav Krasilnikov,volleyball,RUS,male,4/28/91,25.3,1.95,90,23.7,0,0,0,
Vicenc Ruiz,hockey,ESP,male,10/30/91,24.8,1.81,70,21.4,0,0,0,
Vicente Hernandez,triathlon,ESP,male,4/20/91,25.3,1.81,74,22.6,0,0,0,
Vicky Holland,triathlon,GBR,female,1/12/86,30.6,1.68,56,19.8,0,0,1,
Victoire Pauline L'or Ngon Ntame,volleyball,CMR,female,12/31/85,30.6,1.77,79,25.2,0,0,0,
Victor Aravena,athletics,CHI,male,2/5/90,26.5,1.66,55,20.0,0,0,0,
Victor Claver,basketball,ESP,male,8/30/88,28.0,2.06,107,25.2,0,0,1,
Victor Cuesta,football,ARG,male,11/19/98,17.7,1.64,65,24.2,0,0,0,
Victor Estrella Burgos,tennis,DOM,male,8/2/80,36.0,1.73,65,21.7,0,0,0,
Victor Guzman,football,MEX,male,2/3/95,21.5,1.73,72,24.1,0,0,0,
Victor Koretzky,cycling,FRA,male,8/26/94,22.0,1.80,69,21.3,0,0,0,
Victor Lebedev,wrestling,RUS,male,3/10/88,28.4,1.64,57,21.2,0,0,0,
Victor Martin Martin,aquatics,ESP,male,9/25/93,22.9,1.87,82,23.4,0,0,0,
Victor Ortega,aquatics,COL,male,1/27/88,28.5,1.72,68,23.0,0,0,0,
Victor Penalber,judo,BRA,male,5/22/90,26.2,1.74,81,26.8,0,0,0,
Victor Rodriguez,boxing,VEN,male,3/27/95,21.4,1.67,,,0,0,0,
Victor Scvortov,judo,UAE,male,3/30/88,28.4,1.73,73,24.4,0,0,0,
Victoria Chamorro,aquatics,BRA,female,7/10/96,20.1,1.76,78,25.2,0,0,0,
Victoria Crivelli,handball,ARG,female,9/30/90,25.9,1.76,65,21.0,0,0,0,
Victoria Esson,football,NZL,female,3/6/91,25.4,1.74,66,21.8,0,0,0,
Victoria Folayan,rugby sevens,USA,female,5/27/85,31.2,1.66,72,26.1,0,0,0,
Victoria Jurczok,sailing,GER,female,3/25/90,26.4,1.61,56,21.6,0,0,0,
Victoria Kaminskaya,aquatics,POR,female,10/7/95,20.8,1.64,52,19.3,0,0,0,
Victoria Lovelady,golf,BRA,female,11/29/86,29.7,1.62,48,18.3,0,0,0,
Victoria Max-Theurer,equestrian,AUT,female,10/24/85,30.8,1.68,58,20.5,0,0,0,
Victoria Mitchell,athletics,AUS,female,4/25/82,34.3,1.64,47,17.5,0,0,0,
Victoria Thornley,rowing,GBR,female,11/30/87,28.7,1.73,76,25.4,0,1,0,
Victoria Travascio,sailing,ARG,female,7/14/88,28.1,1.61,59,22.8,0,0,0,
Victoria Zhilinskayte,handball,RUS,female,3/6/89,27.4,1.88,80,22.6,1,0,0,
Victoria Zuloaga,hockey,ARG,female,2/14/88,28.5,1.75,70,22.9,0,0,0,
Vid Hidvegi,gymnastics,HUN,male,8/23/86,30.0,1.70,60,20.8,0,0,0,
Vid Kavticnik,handball,SLO,male,5/24/84,32.2,1.91,90,24.7,0,0,0,
Vid Poteko,handball,SLO,male,4/5/91,25.4,1.94,103,27.4,0,0,0,
Vien Nguyen Thi Anh,aquatics,VIE,female,11/9/96,19.8,1.72,60,20.3,0,0,0,
Vigen Christensen,football,DEN,male,8/15/94,22.0,1.82,77,23.2,0,0,0,
Vijona Kryeziu,athletics,KOS,female,10/8/97,18.8,1.67,51,18.3,0,0,0,
Vikas Dahiya,hockey,IND,male,5/8/95,21.3,1.80,69,21.3,0,0,0,
Vikas Gowda,athletics,IND,male,7/5/83,33.1,2.05,135,32.1,0,0,0,
Viktar Staselovich,aquatics,BLR,male,5/28/94,22.2,1.88,83,23.5,0,0,0,
Viktor Axelsen,badminton,DEN,male,1/4/94,22.6,1.94,88,23.4,0,0,1,
Viktor Bromer,aquatics,DEN,male,4/20/93,23.3,1.94,87,23.1,0,0,0,
Viktor Lorincz,wrestling,HUN,male,4/28/90,26.3,1.76,89,28.7,0,0,0,
Viktor Minibaev,aquatics,RUS,male,7/18/91,25.1,1.73,65,21.7,0,0,0,
Viktor Nagy,aquatics,HUN,male,7/24/84,32.1,1.98,96,24.5,0,0,0,
Viktor Nemes,wrestling,SRB,male,7/21/93,23.1,1.70,75,26.0,0,0,0,
Viktor Ruban,archery,UKR,male,5/24/81,35.2,1.78,70,22.1,0,0,0,
Viktor Teply,sailing,CZE,male,10/19/90,25.8,1.83,82,24.5,0,0,0,
Viktor Troicki,tennis,SRB,male,2/10/86,30.5,1.90,85,23.5,0,0,0,
Viktoria Chaika,shooting,BLR,female,12/26/80,35.6,1.64,50,18.6,0,0,0,
Viktoria Egri,shooting,HUN,female,1/18/98,18.6,1.68,59,20.9,0,0,0,
Viktoria Madarasz,athletics,HUN,female,5/12/85,31.3,1.58,44,17.6,0,0,0,
Viktoria Pavlovich,table tennis,BLR,female,5/8/78,38.3,1.75,60,19.6,0,0,0,
Viktoria Schwarz,canoe,AUT,female,7/2/85,31.1,1.73,64,21.4,0,0,0,
Viktoria Zeynep Gunes,aquatics,TUR,female,6/19/98,18.1,1.85,66,19.3,0,0,0,
Viktoriia Andreeva,aquatics,RUS,female,6/21/92,24.1,1.90,74,20.5,0,0,0,
Viktoriia Kalinina,handball,RUS,female,12/8/88,27.7,1.83,74,22.1,1,0,0,
Viktoriia Poliudina,athletics,KGZ,female,6/29/89,27.1,1.65,55,20.2,0,0,0,
Viktoriia Turks,judo,UKR,female,10/20/87,28.8,1.78,78,24.6,0,0,0,
Viktoriia Us,canoe,UKR,female,4/29/93,23.3,1.67,63,22.6,0,0,0,
Viktoriya Tkachuk,athletics,UKR,female,11/8/94,21.8,1.79,67,20.9,0,0,0,
Viktoriya Zyabkina,athletics,KAZ,female,9/4/92,23.9,1.74,62,20.5,0,0,0,
Viliame Mata,rugby sevens,FIJ,male,10/22/91,24.8,1.96,106,27.6,1,0,0,
Villo Kormos,aquatics,HUN,female,8/2/88,28.0,1.70,62,21.5,0,0,0,
Vilma Pegado Nenganga,handball,ANG,female,9/12/96,19.9,1.70,59,20.4,0,0,0,
Vilmarie Mojica,volleyball,PUR,female,8/13/85,31.0,1.80,63,19.4,0,0,0,
Vincent Anstett,fencing,FRA,male,7/26/82,34.1,1.78,78,24.6,0,0,0,
Vincent Breet,rowing,RSA,male,4/26/93,23.3,1.95,92,24.2,0,0,0,
Vincent Farkas,canoe,SVK,male,1/13/93,23.6,1.93,90,24.2,0,0,0,
Vincent Gerard,handball,FRA,male,12/16/86,29.7,1.89,100,28.0,0,1,0,
Vincent Hancock,shooting,USA,male,3/19/89,27.4,1.73,79,26.4,0,0,0,
Vincent Inigo,rugby sevens,FRA,male,2/10/83,33.5,1.73,80,26.7,0,0,0,
Vincent Luis,triathlon,FRA,male,6/27/89,27.1,1.77,65,20.7,0,0,0,
Vincent Riendeau,aquatics,CAN,male,12/13/96,19.7,1.78,68,21.5,0,0,0,
Vincent van der Want,rowing,NED,male,10/21/85,30.8,1.98,90,23.0,0,0,0,
Vincent Vanasch,hockey,BEL,male,12/21/87,28.6,1.80,78,24.1,0,1,0,
Vincenzo Capelli,rowing,ITA,male,10/26/88,27.8,1.94,95,25.2,0,0,0,
Vincenzo Mangiacapre,boxing,ITA,male,1/17/89,27.6,1.70,,,0,0,0,
Vincenzo Nibali,cycling,ITA,male,11/14/84,31.7,1.80,60,18.5,0,0,0,
Vinesh Vinesh,wrestling,IND,female,8/25/94,22.0,1.65,56,20.6,0,0,0,
Viniana Riwai,rugby sevens,FIJ,female,6/6/91,25.2,1.65,70,25.7,0,0,0,
Vinicius Antonelli,aquatics,BRA,male,3/1/90,26.4,1.83,82,24.5,0,0,0,
Vinicius Teixeira,handball,BRA,male,4/3/88,28.4,1.88,110,31.1,0,0,0,
Violah Cheptoo Lagat,athletics,KEN,female,3/1/89,27.4,1.65,,,0,0,0,
Violetta Kolobova,fencing,RUS,female,7/27/91,25.0,1.76,64,20.7,0,0,1,
Virginia Bardach Martin,aquatics,ARG,female,4/3/92,24.4,1.74,57,18.8,0,0,0,
Virginia Thrasher,shooting,USA,female,2/28/97,19.4,1.55,54,22.5,1,0,0,
Virginie Cueff,cycling,FRA,female,6/18/88,28.2,1.70,63,21.8,0,0,0,
Virimi Vakatawa,rugby sevens,FRA,male,5/1/92,24.3,1.85,87,25.4,0,0,0,
Visiline Jepkesho,athletics,KEN,female,12/30/89,26.6,1.60,43,16.8,0,0,0,
Vita Heine,cycling,NOR,female,11/21/84,31.7,,,,0,0,0,
Vitali Bubnovich,shooting,BLR,male,11/12/74,41.8,1.69,70,24.5,0,0,0,
Vitalii Butrym,athletics,UKR,male,1/10/91,25.6,1.80,75,23.1,0,0,0,
Vitalina Batsarashkina,shooting,RUS,female,10/1/96,19.9,1.62,60,22.9,0,1,0,
Vitaliy Khudyakov,aquatics,KAZ,male,8/7/94,22.0,1.86,79,22.8,0,0,0,
Vitaly Dunaytsev,boxing,RUS,male,4/12/92,24.3,1.74,,,0,0,1,
Vitaly Fokeev,shooting,RUS,male,2/15/74,42.5,1.80,86,26.5,0,0,0,
Vitezslav Gebas,canoe,CZE,male,3/24/84,32.4,1.79,75,23.4,0,0,0,
Vitezslav Vesely,athletics,CZE,male,2/27/83,33.5,1.86,93,26.9,0,0,0,
Vitiny Hemthon,aquatics,CAM,female,10/7/93,22.8,1.63,50,18.8,0,0,0,
Vitor Benite,basketball,BRA,male,2/20/90,26.5,1.90,88,24.4,0,0,0,
Vitor Hugo dos Santos,athletics,BRA,male,2/1/96,20.5,1.85,74,21.6,0,0,0,
Vitoria Cristina Rosa,athletics,BRA,female,1/12/96,20.6,1.70,60,20.8,0,0,0,
Vittorio Bissaro,sailing,ITA,male,6/1/87,29.2,1.83,72,21.5,0,0,0,
Vivian Jepkemoi Cheruiyot,athletics,KEN,female,9/11/83,32.9,1.54,40,16.9,1,1,0,
Vivian Kah Mun Hoo,badminton,MAS,female,3/19/90,26.4,1.66,56,20.3,0,0,0,
Viviana Chavez,athletics,ARG,female,5/28/87,29.2,1.64,52,19.3,0,0,0,
Viviane Bahia,aquatics,BRA,female,2/14/94,22.5,1.76,67,21.6,0,0,0,
Vjekoslav Paskovic,aquatics,MNE,male,3/23/85,31.4,1.80,86,26.5,0,0,0,
Vlada Chigireva,aquatics,RUS,female,12/18/94,21.6,1.62,48,18.3,1,0,0,
Vlad-Dragos Aicoboae,rowing,ROU,male,10/10/93,22.8,1.97,91,23.4,0,0,0,
Vladimer Khinchegashvili,wrestling,GEO,male,4/18/91,25.3,1.70,57,19.7,1,0,0,
Vladimir Gontcharov,shooting,RUS,male,5/4/77,39.3,1.68,58,20.5,0,0,0,
Vladimir Isakov,shooting,RUS,male,2/28/70,46.5,1.78,83,26.2,0,0,0,
Vladimir Issachenko,shooting,KAZ,male,12/27/82,33.6,1.95,90,23.7,0,0,0,
Vladimir Ivanov,badminton,RUS,male,7/3/87,29.1,1.98,93,23.7,0,0,0,
Vladimir Letnicov,athletics,MDA,male,10/7/81,34.9,1.78,70,22.1,0,0,0,
Vladimir Malkov,badminton,RUS,male,4/9/86,30.3,1.88,79,22.4,0,0,0,
Vladimir Margaryan,boxing,ARM,male,3/8/91,25.4,1.72,,,0,0,0,
Vladimir Maslennikov,shooting,RUS,male,8/17/94,22.0,1.71,73,25.0,0,0,1,
Vladimir Morozov,aquatics,RUS,male,6/16/92,24.2,,,,0,0,0,
Vladimir Nikitin,boxing,RUS,male,3/25/90,26.4,1.65,,,0,0,1,
Vladimir Samsonov,table tennis,BLR,male,4/17/76,40.3,1.89,83,23.2,0,0,0,
Vladimir Savanovic,athletics,SRB,male,6/12/85,31.2,1.80,70,21.6,0,0,0,
Vladimir Stimac,basketball,SRB,male,8/25/87,29.0,2.11,112,25.2,0,1,0,
Vladimir Torubarov,canoe,SRB,male,3/22/93,23.4,1.91,94,25.8,0,0,0,
Vladimir Vladimirov Dubov,wrestling,BUL,male,2/20/88,28.5,1.56,64,26.3,0,0,0,
Vladislav Mustafin,aquatics,UZB,male,9/26/95,20.9,1.81,78,23.8,0,0,0,
Vladislav Ryabcev,rowing,RUS,male,12/13/87,28.7,1.96,96,25.0,0,0,0,
Vladislav Yakovlev,rowing,KAZ,male,1/1/93,23.6,1.88,85,24.0,0,0,0,
Vladlena Bobrovnikova,handball,RUS,female,10/24/87,28.8,1.80,72,22.2,1,0,0,
Vladyslav Hryko,gymnastics,UKR,male,1/25/97,19.5,1.69,57,20.0,0,0,0,
Vlasios Maras,gymnastics,GRE,male,3/31/83,33.4,1.60,52,20.3,0,0,0,
Volha Khudzenka,canoe,BLR,female,5/12/92,24.2,1.78,78,24.6,0,0,1,
Volha Mazuronak,athletics,BLR,female,4/14/89,27.3,1.65,49,18.0,0,0,0,
Volha Sudarava,athletics,BLR,female,2/22/84,32.5,1.76,61,19.7,0,0,0,
Volha Ziuzkova,basketball,BLR,female,6/14/83,33.2,1.71,69,23.6,0,0,0,
Volodymyr Hoza,weightlifting,UKR,male,4/15/96,20.3,1.83,94,28.1,0,0,0,
Volodymyr Matviichuk,boxing,UKR,male,12/29/82,33.6,1.71,,,0,0,0,
Vsevolod Zanko,aquatics,RUS,male,7/30/95,21.0,1.90,85,23.5,0,0,0,
Vyron Kokkalanis,sailing,GRE,male,8/19/85,31.0,1.86,75,21.7,0,0,0,
Wadha Al Balushi,shooting,OMA,female,11/30/89,26.7,1.60,75,29.3,0,0,0,
Wael Jallouz,handball,TUN,male,5/3/91,25.3,1.97,105,27.1,0,0,0,
Wagner Domingos,athletics,BRA,male,3/26/83,33.4,1.87,100,28.6,0,0,0,
Waheed Abdulridha Waheed Karaawi,boxing,IRQ,male,5/22/83,33.2,1.78,,,0,0,0,
Wai Sze Lee,cycling,HKG,female,5/12/87,29.3,1.65,62,22.8,0,0,0,
Walace,football,BRA,male,4/4/95,21.4,1.88,75,21.2,1,0,0,
Walid Bidani,weightlifting,ALG,male,6/11/94,22.2,1.85,123,35.9,0,0,0,
Walid Mohamed,boxing,EGY,male,8/22/93,23.0,1.67,,,0,0,0,
Walide Khyar,judo,FRA,male,6/9/95,21.2,1.65,60,22.0,0,0,0,
Wallace de Souza,volleyball,BRA,male,6/26/87,29.1,1.98,87,22.2,1,0,0,
Walton Eller,shooting,USA,male,1/6/82,34.6,1.88,81,22.9,0,0,0,
Wan Ho Son,badminton,KOR,male,5/17/88,28.2,1.76,70,22.6,0,0,0,
Wander Mateo,judo,DOM,male,12/24/89,26.6,1.73,66,22.1,0,0,0,
Wannes van Laer,sailing,BEL,male,3/5/85,31.4,1.81,81,24.7,0,0,0,
Warren Barguil,cycling,FRA,male,10/28/91,24.8,1.84,62,18.3,0,0,0,
Warren Potent,shooting,AUS,male,4/7/62,54.4,1.77,73,23.3,0,0,0,
Wataru Endo,football,JPN,male,2/9/93,23.5,1.78,75,23.7,0,0,0,
Wataru Yazawa,athletics,JPN,male,7/2/91,25.1,1.77,64,20.4,0,0,0,
Wayde van Niekerk,athletics,RSA,male,7/15/92,24.1,1.83,70,20.9,1,0,0,
Wayne Snyman,athletics,RSA,male,3/8/85,31.4,1.77,65,20.7,0,0,0,
Wee Kiong Tan,badminton,MAS,male,5/21/89,27.2,1.77,77,24.6,0,1,0,
Wei Deng,weightlifting,CHN,female,2/14/93,23.5,1.59,62,24.5,1,0,0,
Wei Hong,badminton,CHN,male,10/4/89,26.9,1.92,86,23.3,0,0,0,
Wei Jin,rowing,CHN,male,2/26/87,29.5,1.83,70,20.9,0,0,0,
Wei Liu,boxing,CHN,male,11/27/87,28.7,1.75,,,0,0,0,
Wei Pang,shooting,CHN,male,7/19/86,30.1,1.78,77,24.3,0,0,1,
Wei Sun,fencing,CHN,male,10/27/92,23.8,1.93,69,18.5,0,0,0,
Wei Wang,sailing,CHN,male,7/7/88,28.1,1.80,70,21.6,0,0,0,
Wei Yu,athletics,CHN,male,9/11/87,28.9,1.80,55,17.0,0,0,0,
Wei-Ling Chen,weightlifting,TPE,female,1/4/82,34.6,1.49,47,21.2,0,0,0,
Wei-Ting Liu,taekwondo,TPE,male,1/6/95,21.6,1.96,81,21.1,0,0,0,
Weiwei Zhang,aquatics,CHN,female,10/7/90,25.8,1.82,66,19.9,0,0,0,
Weiwei Zhu,rowing,CHN,female,5/22/90,26.2,1.80,70,21.6,0,0,0,
Welisson Rosa da Silva,weightlifting,BRA,male,11/22/83,32.7,1.60,85,33.2,0,0,0,
Welson Sim,aquatics,MAS,male,3/29/97,19.4,1.81,70,21.4,0,0,0,
Wen Lu,basketball,CHN,female,2/26/90,26.5,1.88,78,22.1,0,0,0,
Wenda Nel,athletics,RSA,female,7/30/88,28.0,1.65,57,20.9,0,0,0,
Wendie Renard,football,FRA,female,7/20/90,26.1,1.87,70,20.0,0,0,0,
Wendy Cornejo,athletics,BOL,female,1/7/93,23.6,1.62,54,20.6,0,0,0,
Wenjun Guo,shooting,CHN,female,6/22/84,32.1,1.68,60,21.3,0,0,0,
Wenjun Ren,canoe,CHN,female,1/15/92,24.6,1.75,67,21.9,0,0,0,
Wenjun Xie,athletics,CHN,male,7/11/90,26.1,1.90,87,24.1,0,0,0,
Wen-Ling Chen,wrestling,TPE,female,8/16/94,22.0,1.75,69,22.5,0,0,0,
Wenna He,gymnastics,CHN,female,1/19/89,27.6,1.60,50,19.5,0,0,0,
Wen-Tang Lin,golf,TPE,male,6/28/74,42.1,1.74,77,25.4,0,0,0,
Wenxiu Zhang,athletics,CHN,female,3/22/86,30.4,1.83,105,31.4,0,1,0,
